place,descr_text,source,date
Amberg,Beschreibung rechter Gewalt,Allgemeine Zeitung,16/12/18
Ansbach,Beschreibung rechter Gewalt,Polizeimeldung,30/12/18
Germering,Beschreibung rechter Gewalt,Polizeimeldung,13/01/19
Schwabach,Beschreibung rechter Gewalt,Polizeimeldung,27/01/19
Neumarkt,Beschreibung rechter Gewalt,Polizeimeldung,10/02/19
Fürstenfeldbruck,Beschreibung rechter Gewalt,Beratungsstelle,24/02/19
Erding,Beschreibung rechter Gewalt,Polizeimeldung,10/03/19
Deggendorf,Beschreibung rechter Gewalt,Polizeimeldung,24/03/19
Forchheim,Beschreibung rechter Gewalt,Parlamentarische Anfrage,07/04/19
Unterschleißheim,Beschreibung rechter Gewalt,Beratungsstelle,21/04/19
Friedberg,Beschreibung rechter Gewalt,Polizeimeldung,05/05/19
Neuburg,Beschreibung rechter Gewalt,Polizeimeldung,19/05/19
Landsberg,Beschreibung rechter Gewalt,Polizeimeldung,02/06/19
Königsbrunn,Beschreibung rechter Gewalt,Polizeimeldung,16/06/19
Königsbrunn,Beschreibung rechter Gewalt,Polizeimeldung,30/06/19
Königsbrunn,Beschreibung rechter Gewalt,Polizeimeldung,14/07/19
Schwandorf,Beschreibung rechter Gewalt,Beratungsstelle,28/07/19
Olching,Beschreibung rechter Gewalt,Polizeimeldung,11/08/19
Lauf,Beschreibung rechter Gewalt,Polizeimeldung,25/08/19
Zirndorf,Beschreibung rechter Gewalt,Polizeimeldung,08/09/19
Geretsried,Beschreibung rechter Gewalt,Polizeimeldung,22/09/19
Lindau,Beschreibung rechter Gewalt,Allgemeine Zeitung,06/10/19
Pfaffenhofen,Beschreibung rechter Gewalt,Polizeimeldung,20/10/19
Pfaffenhofen,Beschreibung rechter Gewalt,Allgemeine Zeitung,03/11/19
Pfaffenhofen,Beschreibung rechter Gewalt,Polizeimeldung,17/11/19
Pfaffenhofen,Beschreibung rechter Gewalt,Polizeimeldung,01/12/19
Pfaffenhofen,Beschreibung rechter Gewalt,Polizeimeldung,15/12/19
Pfaffenhofen,Beschreibung rechter Gewalt,Antifa-Blog,29/12/19
Pfaffenhofen,Beschreibung rechter Gewalt,Antifa-Blog,12/01/20
Pfaffenhofen,Beschreibung rechter Gewalt,Polizeimeldung,26/01/20
Pfaffenhofen,Beschreibung rechter Gewalt,Polizeimeldung,09/02/20
Kulmbach,Beschreibung rechter Gewalt,Polizeimeldung,23/02/20
Roth,Beschreibung rechter Gewalt,Polizeimeldung,08/03/20
Waldkraiburg,Beschreibung rechter Gewalt,Polizeimeldung,22/03/20
Starnberg,Beschreibung rechter Gewalt,Polizeimeldung,05/04/20
Herzogenaurach,Beschreibung rechter Gewalt,Polizeimeldung,19/04/20
Puchheim,Beschreibung rechter Gewalt,Beratungsstelle,03/05/20
Senden,Beschreibung rechter Gewalt,Polizeimeldung,17/05/20
Gersthofen,Beschreibung rechter Gewalt,Polizeimeldung,31/05/20
Neusäß,Beschreibung rechter Gewalt,Polizeimeldung,14/06/20
Weilheim,Beschreibung rechter Gewalt,Parlamentarische Anfrage,28/06/20
Bad Kissingen,Beschreibung rechter Gewalt,Parlamentarische Anfrage,12/07/20
Kitzingen,Beschreibung rechter Gewalt,Parlamentarische Anfrage,26/07/20
Sonthofen,Beschreibung rechter Gewalt,Parlamentarische Anfrage,09/08/20
Aichach,Beschreibung rechter Gewalt,Parlamentarische Anfrage,23/08/20
Traunreut,Beschreibung rechter Gewalt,Beratungsstelle,06/09/20
Günzburg,Beschreibung rechter Gewalt,Beratungsstelle,20/09/20
Mühldorf,Beschreibung rechter Gewalt,Beratungsstelle,08/09/19
Traunstein,Beschreibung rechter Gewalt,Allgemeine Zeitung,08/09/19
Nördlingen,Beschreibung rechter Gewalt,Allgemeine Zeitung,08/09/19
Donauwörth,Beschreibung rechter Gewalt,Allgemeine Zeitung,03/11/19
Lichtenfels,Beschreibung rechter Gewalt,Allgemeine Zeitung,03/11/19
Dingolfing,Beschreibung rechter Gewalt,Allgemeine Zeitung,03/11/19
Sulzbach-Rosenberg,Beschreibung rechter Gewalt,Allgemeine Zeitung,03/11/19
Sulzbach-Rosenberg,Beschreibung rechter Gewalt,Beratungsstelle,28/07/19
Sulzbach-Rosenberg,Beschreibung rechter Gewalt,Beratungsstelle,11/08/19
Sulzbach-Rosenberg,Beschreibung rechter Gewalt,Beratungsstelle,25/08/19
Burghausen,Beschreibung rechter Gewalt,Beratungsstelle,08/09/19
Bad Aibling,Beschreibung rechter Gewalt,Allgemeine Zeitung,22/09/19
Kolbermoor,Beschreibung rechter Gewalt,Allgemeine Zeitung,06/10/19
Bad Tölz,Beschreibung rechter Gewalt,Allgemeine Zeitung,20/10/19
Dillingen,Beschreibung rechter Gewalt,Allgemeine Zeitung,03/11/19
Oberasbach,Beschreibung rechter Gewalt,Beratungsstelle,17/11/19
Moosburg,Beschreibung rechter Gewalt,Allgemeine Zeitung,01/12/19
Alzenau in Unterfranken,Beschreibung rechter Gewalt,Allgemeine Zeitung,15/12/19
Marktoberdorf,Beschreibung rechter Gewalt,Polizeimeldung,29/12/19
Bad Reichenhall,Beschreibung rechter Gewalt,Polizeimeldung,12/01/20
Weißenburg,Beschreibung rechter Gewalt,Polizeimeldung,26/01/20
Garching bei München,Beschreibung rechter Gewalt,Polizeimeldung,09/02/20
Freilassing,Beschreibung rechter Gewalt,Polizeimeldung,23/02/20
Illertissen,Beschreibung rechter Gewalt,Polizeimeldung,08/03/20
Marktredwitz,Beschreibung rechter Gewalt,Polizeimeldung,22/03/20
Bobingen,Beschreibung rechter Gewalt,Polizeimeldung,05/04/20
Schrobenhausen,Beschreibung rechter Gewalt,Polizeimeldung,19/04/20
Penzberg,Beschreibung rechter Gewalt,Antifa-Blog,03/05/20
Kronach,Beschreibung rechter Gewalt,Antifa-Blog,03/06/18
Cham,Beschreibung rechter Gewalt,Polizeimeldung,12/06/18
Kelheim,Beschreibung rechter Gewalt,Antifa-Blog,21/06/18
Gunzenhausen,Beschreibung rechter Gewalt,Polizeimeldung,30/06/18
Bad Wörishofen,Beschreibung rechter Gewalt,Polizeimeldung,09/07/18
Pocking,Beschreibung rechter Gewalt,Polizeimeldung,18/07/18
Füssen,Beschreibung rechter Gewalt,Polizeimeldung,27/07/18
Bad Neustadt,Beschreibung rechter Gewalt,Beratungsstelle,05/08/18
Neustadt bei Coburg,Beschreibung rechter Gewalt,Polizeimeldung,14/08/18
Mainburg,Beschreibung rechter Gewalt,Regionalradio,23/08/18
Selb,Beschreibung rechter Gewalt,Regionalradio,01/09/18
Mindelheim,Beschreibung rechter Gewalt,Regionalradio,10/09/18
Mindelheim,Beschreibung rechter Gewalt,Regionalradio,19/09/18
Mindelheim,Beschreibung rechter Gewalt,Regionalradio,28/09/18
Neutraubling,Beschreibung rechter Gewalt,Regionalradio,07/10/18
Dorfen,Beschreibung rechter Gewalt,Regionalradio,16/10/18
Stein bei Nürnberg,Beschreibung rechter Gewalt,Regionalradio,25/10/18
Neustadt an der Donau,Beschreibung rechter Gewalt,Lokalzeitung,03/11/18
Neustadt an der Donau,Beschreibung rechter Gewalt,Lokalzeitung,12/11/18
Neustadt an der Donau,Beschreibung rechter Gewalt,Lokalzeitung,21/11/18
Neustadt an der Donau,Beschreibung rechter Gewalt,Parlamentarische Anfrage,30/11/18
Neustadt an der Donau,Beschreibung rechter Gewalt,Parlamentarische Anfrage,09/12/18
Immenstadt im Allgäu,Beschreibung rechter Gewalt,Regionalradio,18/12/18
Schwabmünchen,Beschreibung rechter Gewalt,Regionalradio,27/12/18
Abensberg,Beschreibung rechter Gewalt,Regionalradio,05/01/19
Vöhringen,Beschreibung rechter Gewalt,Lokalzeitung,14/01/19
Grafing bei München,Beschreibung rechter Gewalt,Regionalradio,23/01/19
Grafing bei München,Beschreibung rechter Gewalt,Regionalradio,01/02/19
Eggenfelden,Beschreibung rechter Gewalt,Regionalradio,10/02/19
Haßfurt,Beschreibung rechter Gewalt,Parlamentarische Anfrage,19/02/19
Haßfurt,Beschreibung rechter Gewalt,Lokalzeitung,28/02/19
Haßfurt,Beschreibung rechter Gewalt,Beratungsstelle,09/03/19
Haßfurt,Beschreibung rechter Gewalt,Parlamentarische Anfrage,18/03/19
Haßfurt,Beschreibung rechter Gewalt,Lokalzeitung,27/03/19
Haßfurt,Beschreibung rechter Gewalt,Lokalzeitung,05/04/19
Haßfurt,Beschreibung rechter Gewalt,Parlamentarische Anfrage,14/04/19
Haßfurt,Beschreibung rechter Gewalt,Parlamentarische Anfrage,23/04/19
Haßfurt,Beschreibung rechter Gewalt,Lokalzeitung,02/05/19
Haßfurt,Beschreibung rechter Gewalt,Lokalzeitung,11/05/19
Haßfurt,Beschreibung rechter Gewalt,Lokalzeitung,20/05/19
Haßfurt,Beschreibung rechter Gewalt,Lokalzeitung,03/01/18
Haßfurt,Beschreibung rechter Gewalt,Antifa-Blog,12/01/18
Haßfurt,Beschreibung rechter Gewalt,Antifa-Blog,21/01/18
Haßfurt,Beschreibung rechter Gewalt,Antifa-Blog,30/01/18
Haßfurt,Beschreibung rechter Gewalt,Antifa-Blog,08/02/18
Haßfurt,Beschreibung rechter Gewalt,Antifa-Blog,17/02/18
Eichstätt,Beschreibung rechter Gewalt,Antifa-Blog,26/02/18
Hilpoltstein,Beschreibung rechter Gewalt,Parlamentarische Anfrage,07/03/18
Burglengenfeld,Beschreibung rechter Gewalt,Antifa-Blog,16/03/18
Weißenhorn,Beschreibung rechter Gewalt,Parlamentarische Anfrage,25/03/18
Höchstadt an der Aisch,Beschreibung rechter Gewalt,Parlamentarische Anfrage,03/04/18
Höchstadt an der Aisch,Beschreibung rechter Gewalt,Parlamentarische Anfrage,12/04/18
Höchstadt an der Aisch,Beschreibung rechter Gewalt,Parlamentarische Anfrage,21/04/18
Krumbach,Beschreibung rechter Gewalt,Parlamentarische Anfrage,30/04/18
Landau an der Isar,Beschreibung rechter Gewalt,Parlamentarische Anfrage,09/05/18
Buchloe,Beschreibung rechter Gewalt,Beratungsstelle,18/05/18
Plattling,Beschreibung rechter Gewalt,Lokalzeitung,27/05/18
Pegnitz,Beschreibung rechter Gewalt,Parlamentarische Anfrage,05/06/18
Rödental,Beschreibung rechter Gewalt,Parlamentarische Anfrage,14/06/18
Wasserburg am Inn,Beschreibung rechter Gewalt,Lokalzeitung,23/06/18
Neustadt,Beschreibung rechter Gewalt,Parlamentarische Anfrage,02/07/18
Treuchtlingen,Beschreibung rechter Gewalt,Lokalzeitung,11/07/18
Hersbruck,Beschreibung rechter Gewalt,Parlamentarische Anfrage,20/07/18
Röthenbach an der Pegnitz,Beschreibung rechter Gewalt,Lokalzeitung,29/07/18
Schongau,Beschreibung rechter Gewalt,Parlamentarische Anfrage,07/08/18
Pfarrkirchen,Beschreibung rechter Gewalt,Lokalzeitung,16/08/18
Feuchtwangen,Beschreibung rechter Gewalt,Parlamentarische Anfrage,25/08/18
Bad Windsheim,Beschreibung rechter Gewalt,Lokalzeitung,03/09/18
Ebersberg,Beschreibung rechter Gewalt,Parlamentarische Anfrage,12/09/18
Lindenberg im Allgäu,Beschreibung rechter Gewalt,Lokalzeitung,21/09/18
Vilsbiburg,Beschreibung rechter Gewalt,Parlamentarische Anfrage,30/09/18
Vilsbiburg,Beschreibung rechter Gewalt,Parlamentarische Anfrage,09/10/18
Vilsbiburg,Beschreibung rechter Gewalt,Parlamentarische Anfrage,18/10/18
Roding,Beschreibung rechter Gewalt,Parlamentarische Anfrage,27/10/18
Dinkelsbühl,Beschreibung rechter Gewalt,Parlamentarische Anfrage,05/11/18
Dinkelsbühl,Beschreibung rechter Gewalt,Parlamentarische Anfrage,14/11/18
Dinkelsbühl,Beschreibung rechter Gewalt,Parlamentarische Anfrage,23/11/18
Dinkelsbühl,Beschreibung rechter Gewalt,Parlamentarische Anfrage,02/12/18
Dinkelsbühl,Beschreibung rechter Gewalt,Parlamentarische Anfrage,11/12/18
Dinkelsbühl,Beschreibung rechter Gewalt,Beratungsstelle,20/12/18
Dinkelsbühl,Beschreibung rechter Gewalt,Beratungsstelle,29/12/18
Dinkelsbühl,Beschreibung rechter Gewalt,Lokalzeitung,07/01/19
Dinkelsbühl,Beschreibung rechter Gewalt,Beratungsstelle,16/01/19
Dinkelsbühl,Beschreibung rechter Gewalt,Lokalzeitung,25/01/19
Dinkelsbühl,Beschreibung rechter Gewalt,Lokalzeitung,03/02/19
Dinkelsbühl,Beschreibung rechter Gewalt,Lokalzeitung,12/02/19
Dinkelsbühl,Beschreibung rechter Gewalt,Parlamentarische Anfrage,21/02/19
Dinkelsbühl,Beschreibung rechter Gewalt,Antifa-Blog,02/03/19
Dinkelsbühl,Beschreibung rechter Gewalt,Parlamentarische Anfrage,11/03/19
Dinkelsbühl,Beschreibung rechter Gewalt,Lokalzeitung,20/03/19
Dinkelsbühl,Beschreibung rechter Gewalt,Lokalzeitung,29/03/19
Miesbach,Beschreibung rechter Gewalt,Lokalzeitung,07/04/19
Maxhütte-Haidhof,Beschreibung rechter Gewalt,Parlamentarische Anfrage,16/04/19
Osterhofen,Beschreibung rechter Gewalt,Parlamentarische Anfrage,25/04/19
Hauzenberg,Beschreibung rechter Gewalt,Parlamentarische Anfrage,04/05/19
Rothenburg ob der Tauber,Beschreibung rechter Gewalt,Antifa-Blog,13/05/19
Marktheidenfeld,Beschreibung rechter Gewalt,Beratungsstelle,22/05/19
Ochsenfurt,Beschreibung rechter Gewalt,Antifa-Blog,31/05/19
Geisenfeld,Beschreibung rechter Gewalt,Beratungsstelle,09/06/19
Trostberg an der Alz,Beschreibung rechter Gewalt,Lokalzeitung,18/06/19
Lauingen,Beschreibung rechter Gewalt,Beratungsstelle,27/06/19
Regen,Beschreibung rechter Gewalt,Beratungsstelle,06/07/19
Hammelburg,Beschreibung rechter Gewalt,Beratungsstelle,15/07/19
Langenzenn,Beschreibung rechter Gewalt,Beratungsstelle,24/07/19
Erlenbach am Main,Beschreibung rechter Gewalt,Lokalzeitung,02/08/19
Waldkirchen,Beschreibung rechter Gewalt,Lokalzeitung,11/08/19
Altötting,Beschreibung rechter Gewalt,Lokalzeitung,20/08/19
Staffelstein,Beschreibung rechter Gewalt,Parlamentarische Anfrage,29/08/19
Bogen,Beschreibung rechter Gewalt,Parlamentarische Anfrage,07/09/19
Münchberg,Beschreibung rechter Gewalt,Parlamentarische Anfrage,16/09/19
Burgau,Beschreibung rechter Gewalt,Parlamentarische Anfrage,25/09/19
Simbach am Inn,Beschreibung rechter Gewalt,Parlamentarische Anfrage,04/10/19
Töging am Inn,Beschreibung rechter Gewalt,Lokalzeitung,13/10/19
Beilngries,Beschreibung rechter Gewalt,Parlamentarische Anfrage,22/10/19
Beilngries,Beschreibung rechter Gewalt,Parlamentarische Anfrage,31/10/19
Beilngries,Beschreibung rechter Gewalt,Beratungsstelle,09/11/19
Beilngries,Beschreibung rechter Gewalt,Beratungsstelle,18/11/19
Beilngries,Beschreibung rechter Gewalt,Beratungsstelle,27/11/19
Beilngries,Beschreibung rechter Gewalt,Lokalzeitung,06/12/19
Beilngries,Beschreibung rechter Gewalt,Lokalzeitung,15/12/19
Heilsbronn,Beschreibung rechter Gewalt,Lokalzeitung,24/12/19
Oberstdorf,Beschreibung rechter Gewalt,Lokalzeitung,02/01/20
Zwiesel,Beschreibung rechter Gewalt,Lokalzeitung,11/01/20
Zwiesel,Beschreibung rechter Gewalt,Lokalzeitung,20/01/20
Zwiesel,Beschreibung rechter Gewalt,Beratungsstelle,29/01/20
Zwiesel,Beschreibung rechter Gewalt,Lokalzeitung,07/02/20
Zwiesel,Beschreibung rechter Gewalt,Lokalzeitung,16/02/20
Rehau,Beschreibung rechter Gewalt,Lokalzeitung,25/02/20
Miltenberg,Beschreibung rechter Gewalt,Lokalzeitung,05/03/20
Wertingen,Beschreibung rechter Gewalt,Beratungsstelle,14/03/20
Wunsiedel,Beschreibung rechter Gewalt,Lokalzeitung,23/03/20
Ichenhausen,Beschreibung rechter Gewalt,Lokalzeitung,01/04/20
Hemau,Beschreibung rechter Gewalt,Lokalzeitung,10/04/20
Furth im Wald,Beschreibung rechter Gewalt,Lokalzeitung,19/04/20
Griesbach,Beschreibung rechter Gewalt,Lokalzeitung,28/04/20
Neuötting,Beschreibung rechter Gewalt,Antifa-Blog,07/05/20
Hallstadt,Beschreibung rechter Gewalt,Lokalzeitung,16/05/20
